DataCode,RecType,RecDate,watershed,ppt,Comments
APT01,1,1982-06-14,HQ,11,
APT01,1,1982-06-15,HQ,8,
APT01,1,1982-06-17,HQ,1,
APT01,1,1982-06-21,HQ,12.5,
APT01,1,1982-06-23,HQ,35.5,
APT01,1,1982-06-24,HQ,19,
APT01,1,1982-06-26,HQ,4,
APT01,1,1982-06-27,HQ,3,
APT01,1,1982-06-30,HQ,57,
APT01,1,1982-07-01,HQ,8.5,
APT01,1,1982-07-06,HQ,1,
APT01,1,1982-07-10,HQ,37,
APT01,1,1982-07-14,HQ,8.5,
APT01,1,1982-07-15,HQ,2,
APT01,1,1982-07-22,HQ,33,
APT01,1,1982-08-04,HQ,14,
APT01,1,1982-08-05,HQ,12,
APT01,1,1982-08-10,HQ,22.5,
APT01,1,1982-08-11,HQ,1,
APT01,1,1982-08-13,HQ,3,
APT01,1,1982-08-14,HQ,2,
APT01,1,1982-08-20,HQ,1,
APT01,1,1982-08-24,HQ,10,
APT01,1,1982-08-26,HQ,11.5,
APT01,1,1982-08-31,HQ,1,
APT01,1,1982-09-06,HQ,11,
APT01,1,1982-09-08,HQ,6,
APT01,1,1982-09-09,HQ,9.5,
APT01,1,1982-09-12,HQ,1,
APT01,1,1982-09-13,HQ,1,
APT01,1,1982-09-14,HQ,25.5,
APT01,1,1982-09-17,HQ,31,
APT01,1,1982-09-23,HQ,1,
APT01,1,1982-10-02,HQ,7,
APT01,1,1982-10-06,HQ,3.5,
APT01,1,1982-10-08,HQ,22,
APT01,1,1982-10-28,HQ,5,
APT01,1,1982-11-10,HQ,1,
APT01,1,1982-11-11,HQ,5.5,
APT01,1,1982-11-18,HQ,1,
APT01,1,1982-11-19,HQ,1,
APT01,1,1982-11-22,HQ,7,
APT01,1,1982-11-23,HQ,2,
APT01,1,1982-11-25,HQ,2,
APT01,1,1982-11-27,HQ,9.5,
APT01,1,1982-11-28,HQ,7.5,
APT01,1,1982-12-05,HQ,3,
APT01,1,1982-12-14,HQ,5,
APT01,1,1982-12-15,HQ,13.5,
APT01,1,1982-12-24,HQ,15.2,
APT01,1,1982-12-27,HQ,24.5,
APT01,1,1982-12-28,HQ,1,
APT01,1,1983-01-19,HQ,4.8,
APT01,1,1983-01-25,HQ,6,
APT01,1,1983-01-29,HQ,9.6,
APT01,1,1983-01-30,HQ,3.3,
APT01,1,1983-01-31,HQ,3.5,
APT01,1,1983-02-01,HQ,12.5,
APT01,1,1983-02-04,HQ,0.5,
APT01,1,1983-02-05,HQ,3.5,
APT01,1,1983-02-15,HQ,0.3,
APT01,1,1983-02-20,HQ,3.5,
APT01,1,1983-02-21,HQ,0.5,
APT01,1,1983-03-03,HQ,1,
APT01,1,1983-03-04,HQ,15,
APT01,1,1983-03-05,HQ,1.5,
APT01,1,1983-03-19,HQ,5.4,
APT01,1,1983-03-20,HQ,1,
APT01,1,1983-03-25,HQ,7.8,
APT01,1,1983-03-26,HQ,26.2,
APT01,1,1983-03-27,HQ,1.2,
APT01,1,1983-03-29,HQ,0.5,
APT01,1,1983-03-31,HQ,5.3,
APT01,1,1983-04-01,HQ,24.2,
APT01,1,1983-04-04,HQ,12.2,4/01 to 4/05(values are mean of others)
APT01,1,1983-04-05,HQ,11.3,
APT01,1,1983-04-08,HQ,5,
APT01,1,1983-04-09,HQ,4.5,
APT01,1,1983-04-11,HQ,5,
APT01,1,1983-04-12,HQ,0.8,
APT01,1,1983-04-13,HQ,1.3,
APT01,1,1983-04-21,HQ,13.5,
APT01,1,1983-04-27,HQ,23.8,
APT01,1,1983-04-30,HQ,1.2,
APT01,1,1983-05-05,HQ,0.5,
APT01,1,1983-05-11,HQ,26.6,
APT01,1,1983-05-13,HQ,30,
APT01,1,1983-05-17,HQ,18.6,
APT01,1,1983-05-18,HQ,0.5,
APT01,1,1983-05-20,HQ,26.2,
APT01,1,1983-05-21,HQ,8,
APT01,1,1983-05-24,HQ,6,
APT01,1,1983-06-03,HQ,10,
APT01,1,1983-06-05,HQ,1.2,
APT01,1,1983-06-10,HQ,12.4,
APT01,1,1983-06-13,HQ,28.7,
APT01,1,1983-06-18,HQ,4.4,
APT01,1,1983-06-24,HQ,1.6,
APT01,1,1983-06-25,HQ,3.8,
APT01,1,1983-06-26,HQ,2.2,
APT01,1,1983-06-27,HQ,5.6,
APT01,1,1983-06-28,HQ,10.8,
APT01,1,1983-06-29,HQ,3.2,
APT01,1,1983-07-04,HQ,1.7,
APT01,1,1983-07-31,HQ,4,
APT01,1,1983-08-06,HQ,1.9,
APT01,1,1983-08-14,HQ,1,
