experiment,watershed,block,plot,strip,gram,forb,woody,pdead,year,notes
conSME,N1A,A,1,1,55.77,28.35,0.93,1.51,2020,some Pdead found in N1a watershed samples - mostly charred wood
conSME,N1A,A,1,2,33.73,35.35,0,0.62,2020,
conSME,N1A,A,2,1,23.04,19.48,0,0.62,2020,
conSME,N1A,A,2,2,25.28,7.72,0,0.96,2020,
conSME,N1A,A,3,1,29.48,22.12,0,0,2020,
conSME,N1A,A,3,2,13.72,13.43,0,1,2020,
conSME,N1A,A,4,1,50.36,25.17,0,0,2020,
conSME,N1A,A,4,2,57.97,20.03,0,3.65,2020,
conSME,N1A,A,5,1,31.86,19.81,0,0.17,2020,
conSME,N1A,A,5,2,33.35,21.37,0,0.25,2020,
conSME,N1A,A,6,1,9.12,58.44,0,0,2020,
conSME,N1A,A,6,2,9.8,54.81,0,0,2020,
conSME,N1A,B,1,1,97.12,8.32,0,0,2020,
conSME,N1A,B,1,2,10.21,20.03,0,0,2020,
conSME,N1A,B,2,1,81.16,5.47,10.09,0,2020,
conSME,N1A,B,2,2,51.19,14.43,2.58,0,2020,
conSME,N1A,B,3,1,11.96,25.53,0,0.44,2020,
conSME,N1A,B,3,2,10.05,12.41,0,0,2020,
conSME,N1A,B,4,1,43.02,33.57,0,0,2020,
conSME,N1A,B,4,2,29.37,22.81,0,0,2020,
conSME,N1A,B,5,1,37.25,20.75,0,0,2020,
conSME,N1A,B,5,2,55.59,47.96,0,0,2020,
conSME,N1A,B,6,1,8.87,27.48,0,0,2020,
conSME,N1A,B,6,2,8.4,19.99,0,0,2020,
conSME,N1A,C,1,1,59.55,25.13,0,0,2020,
conSME,N1A,C,1,2,32.6,16.86,0,0.11,2020,
conSME,N1A,C,2,1,36.36,6.94,0,0,2020,
conSME,N1A,C,2,2,35.15,15.27,0,0,2020,
conSME,N1A,C,3,1,13.19,18.79,0,0.62,2020,
conSME,N1A,C,3,2,15.48,16.12,0,1.04,2020,
conSME,N1A,C,4,1,56.12,12.01,0,0,2020,
conSME,N1A,C,4,2,58.57,14.41,0,0,2020,
conSME,N1A,C,5,1,47.05,15.23,0,0,2020,
conSME,N1A,C,5,2,41.38,15.12,0,1.78,2020,
conSME,N1A,C,6,1,12.12,2.54,5.54,1.09,2020,
conSME,N1A,C,6,2,9.52,18.75,0.18,0.45,2020,
conSME,N1A,D,1,1,56.3,9.58,3.2,0.53,2020,
conSME,N1A,D,1,2,28.51,12.68,0.22,0,2020,
conSME,N1A,D,2,1,47.72,7.69,0,1.58,2020,
conSME,N1A,D,2,2,27.22,10.99,0,0.47,2020,
conSME,N1A,D,3,1,11.34,19.64,0,0.49,2020,
conSME,N1A,D,3,2,12.7,17.83,0,0.09,2020,
conSME,N1A,D,4,1,19.86,23.35,0,0,2020,
conSME,N1A,D,4,2,22.37,19.35,0,0,2020,
conSME,N1A,D,5,1,52.07,32.13,0,1.74,2020,
conSME,N1A,D,5,2,57.63,8.76,0.89,1.13,2020,
conSME,N1A,D,6,1,6.31,32.09,0,0,2020,
conSME,N1A,D,6,2,6.92,21.15,0,0,2020,
conSME,N1A,E,1,1,32.49,19.61,0,0,2020,
conSME,N1A,E,1,2,34.62,28.97,0,0,2020,
conSME,N1A,E,2,1,65.7,12.78,0,0.93,2020,
conSME,N1A,E,2,2,18.37,16.72,0,0,2020,
conSME,N1A,E,3,1,20.74,11.32,0,0.18,2020,
conSME,N1A,E,3,2,15.03,13.27,0,0.17,2020,
conSME,N1A,E,4,1,41.14,21.57,0,0.65,2020,
conSME,N1A,E,4,2,33.37,10.89,0,0.16,2020,
conSME,N1A,E,5,1,58.5,18.41,0,0,2020,
conSME,N1A,E,5,2,29.73,14.14,0,0.31,2020,
conSME,N1A,E,6,1,3.51,5.2,0,0.38,2020,
conSME,N1A,E,6,2,6.36,46.54,0,0.58,2020,
conSME,N1A,F,1,1,52.54,11.63,0,0.4,2020,
conSME,N1A,F,1,2,90.92,18.86,0,0.69,2020,
conSME,N1A,F,2,1,37.82,12.98,0,0,2020,
conSME,N1A,F,2,2,33.98,25.01,0,0,2020,
conSME,N1A,F,3,1,29.91,5.47,0.09,2.34,2020,
conSME,N1A,F,3,2,10.23,6.16,21.46,0,2020,
conSME,N1A,F,4,1,49.85,17.85,0,0,2020,
conSME,N1A,F,4,2,49.18,15.9,0,0,2020,
conSME,N1A,F,5,1,63.15,8.31,0,2.91,2020,
conSME,N1A,F,5,2,41.83,9.56,0,1.07,2020,
conSME,N1A,F,6,1,8.01,23.33,0.11,0,2020,
conSME,N1A,F,6,2,7.25,2.56,42.65,0,2020,
conSME,N1A,G,1,1,61.59,0.27,0,0.44,2020,
conSME,N1A,G,1,2,50.7,1.04,0,0.34,2020,
conSME,N1A,G,2,1,48.9,1.22,0,0,2020,
conSME,N1A,G,2,2,24.37,1.24,0,0,2020,
conSME,N1A,G,3,1,18.72,34.84,0,0,2020,
conSME,N1A,G,3,2,23.97,56.02,0,0,2020,
conSME,N1A,G,4,1,93.94,19.74,0.62,0.55,2020,
conSME,N1A,G,4,2,72.62,1.24,3.83,0,2020,
conSME,N1A,G,5,1,43.43,1.89,0,0,2020,
conSME,N1A,G,5,2,53.43,1.31,0,0,2020,
conSME,N1A,G,6,1,8.85,42.09,0,0,2020,
conSME,N1A,G,6,2,14.25,32.64,0,0,2020,
conSME,N1A,H,1,1,88.72,3.13,0,0,2020,
conSME,N1A,H,1,2,91.9,1.27,0,0,2020,
conSME,N1A,H,2,1,35.02,2.94,9.16,0,2020,
conSME,N1A,H,2,2,27.13,5.87,0.11,0,2020,
conSME,N1A,H,3,1,23.12,6.74,0,0,2020,
conSME,N1A,H,3,2,14.43,12.81,0.42,0,2020,
conSME,N1A,H,4,1,68.98,37.98,0,1.2,2020,
conSME,N1A,H,4,2,34.98,14.43,0,0,2020,
conSME,N1A,H,5,1,21.66,53.57,0.24,0,2020,
conSME,N1A,H,5,2,30.66,25.42,6,0,2020,
conSME,N1A,H,6,1,12.45,13.54,0,0,2020,
conSME,N1A,H,6,2,6.69,6.71,4.94,0,2020,
conSME,N1A,I,1,1,35.27,11.23,0,0,2020,
conSME,N1A,I,1,2,42.51,8.47,0,0,2020,
conSME,N1A,I,2,1,24.88,6.67,0,0,2020,
conSME,N1A,I,2,2,25.22,6.42,0,0,2020,
conSME,N1A,I,3,1,8.92,19.64,0,0,2020,
conSME,N1A,I,3,2,10.12,29.22,0,0,2020,
conSME,N1A,I,4,1,54.45,14.14,0,1.36,2020,
conSME,N1A,I,4,2,48.83,21.15,0.16,0.98,2020,
conSME,N1A,I,5,1,41.02,1.36,0,0,2020,
conSME,N1A,I,5,2,49.99,18.79,0,0,2020,
conSME,N1A,I,6,1,,,,,2020,missing
conSME,N1A,I,6,2,8.41,18.87,0,0.69,2020,
conSME,N4B,J,1,1,10.83,24.24,0,37.69,2020,
conSME,N4B,J,1,2,13.85,27.87,0,40.96,2020,
conSME,N4B,J,2,1,42.27,0,9.5,40.8,2020,
conSME,N4B,J,2,2,33.22,0,21.61,30.86,2020,
conSME,N4B,J,3,1,4.13,6.38,0,0,2020,
conSME,N4B,J,3,2,3.62,4.03,0,0,2020,
conSME,N4B,J,4,1,54.26,14.23,0,27.62,2020,
