year,date,watershed,block,plot,strip,grass,forb,woody,pdead,notes
2021,,N1A,A,1,1,63.82,30.37,0,0,
2021,,N1A,A,1,2,36.84,19.81,0,0,
2021,,N1A,A,2,1,49.78,11.32,0,0,
2021,,N1A,A,2,2,41.84,28.8,0,0,
2021,,N1A,A,3,1,7.6,39.74,0,0,
2021,,N1A,A,3,2,79.05,15.08,0,0,
2021,,N1A,A,4,1,23.59,28.15,0,0,
2021,,N1A,A,4,2,22.73,17.32,0,0,
2021,,N1A,A,5,1,43.96,5.58,0,0,
2021,,N1A,A,5,2,26.51,8.9,0,0,
2021,,N1A,A,6,1,8.21,60.21,0,0,
2021,,N1A,A,6,2,4.85,56.66,0,0,
2021,,N1A,B,1,1,18.12,11.52,0,0,
2021,,N1A,B,1,2,31.09,8.41,0,0,
2021,,N1A,B,2,1,48.63,15.65,0,0,
2021,,N1A,B,2,2,34.04,5.29,0,0,
2021,,N1A,B,3,1,19.12,15.05,0,0,
2021,,N1A,B,3,2,18.75,51.28,0,0,
2021,,N1A,B,4,1,36.47,23.77,0,0,
2021,,N1A,B,4,2,33.11,17.97,0,0,
2021,,N1A,B,5,1,29.08,23.62,0,0,
2021,,N1A,B,5,2,38.36,21.23,0,0,
2021,,N1A,B,6,1,11.54,17.56,0,0,
2021,,N1A,B,6,2,10.92,12.98,0,0,
2021,,N1A,C,1,1,31.37,5.82,0,0,
2021,,N1A,C,1,2,39.53,15.43,0,0,
2021,,N1A,C,2,1,40.27,3.56,0,0,
2021,,N1A,C,2,2,52.86,9.61,0,0,
2021,,N1A,C,3,1,18.08,29.2,0,0,
2021,,N1A,C,3,2,22.77,20.24,0,0,
2021,,N1A,C,4,1,40.53,1.11,0,0,
2021,,N1A,C,4,2,32.8,15.68,0,0,
2021,,N1A,C,5,1,38.04,19.68,0,0,
2021,,N1A,C,5,2,38.11,15.9,0,0,
2021,,N1A,C,6,1,17.45,12.87,0,0,
2021,,N1A,C,6,2,9.63,15.72,0,0,
2021,,N1A,D,1,1,35.42,14.54,0,0,
2021,,N1A,D,1,2,10.36,6.6,0,0,
2021,,N1A,D,2,1,24.01,6.45,0,0,
2021,,N1A,D,2,2,18.72,4.89,0,0,
2021,,N1A,D,3,1,17.16,19.21,0,0,
2021,,N1A,D,3,2,27.31,48.14,0,0,
2021,,N1A,D,4,1,19.14,5.32,0,0,
2021,,N1A,D,4,2,25.1,12.48,0,0,
2021,,N1A,D,5,1,39.29,15.37,0,0,
2021,,N1A,D,5,2,48.69,5.51,0,0,
2021,,N1A,D,6,1,10.29,27.64,0,0,
2021,,N1A,D,6,2,24.35,24.33,0,0,
2021,,N1A,E,1,1,43.25,13.23,0,0,
2021,,N1A,E,1,2,40.14,15.81,0,0,
2021,,N1A,E,2,1,52.76,25.95,0,0,
2021,,N1A,E,2,2,50.87,10.54,0,0,
2021,,N1A,E,3,1,20.37,11.96,0,0,
2021,,N1A,E,3,2,17.56,6.32,0,0,
2021,,N1A,E,4,1,34.31,25.35,0,0,
2021,,N1A,E,4,2,21.64,4.92,0,0,
2021,,N1A,E,5,1,68.75,20.61,0,0,
2021,,N1A,E,5,2,37.53,5.27,0,0,
2021,,N1A,E,6,1,18.21,25.61,0,0,
2021,,N1A,E,6,2,22.08,11.3,0,0,
2021,,N1A,F,1,1,26.58,8.07,0,0,
2021,,N1A,F,1,2,47.25,13.12,0,0,
2021,,N1A,F,2,1,62.15,18.06,0,0,
2021,,N1A,F,2,2,22.55,16.17,0,0,
2021,,N1A,F,3,1,8.45,6.25,0,0,
2021,,N1A,F,3,2,10.76,4.95,0,0,
2021,,N1A,F,4,1,28.7,8.09,0,0,
2021,,N1A,F,4,2,24.92,0.42,0,0,
2021,,N1A,F,5,1,73.25,3.2,0,0,
2021,,N1A,F,5,2,78.2,0.01,0,0,
2021,,N1A,F,6,1,17.1,5.42,0,0,
2021,,N1A,F,6,2,16.25,7.38,0,0,
2021,,N1A,G,1,1,45.69,0.01,0,0,
2021,,N1A,G,1,2,43.91,1.13,0,0,
2021,,N1A,G,2,1,33.17,11.18,0,0,
2021,,N1A,G,2,2,28.44,8.14,0,0,
2021,,N1A,G,3,1,21.77,10,0,0,
2021,,N1A,G,3,2,22.13,4.33,0,0,
2021,,N1A,G,4,1,34.31,0,0,0,
2021,,N1A,G,4,2,44.67,0.5945,0,0,
2021,,N1A,G,5,1,50.58,0,0,0,
2021,,N1A,G,5,2,29.4,6.23,0,0,
2021,,N1A,G,6,1,7.16,3.73,0,2.51,
2021,,N1A,G,6,2,16.48,16.17,0,0,
2021,,N1A,H,1,1,22.75,1.6,30.93,0,
2021,,N1A,H,1,2,41.82,1.29,0,0,
2021,,N1A,H,2,1,26.35,0,7.21,0,
2021,,N1A,H,2,2,57.54,0.40231,0,0,
2021,,N1A,H,3,1,16.66,6.12,0,0,
2021,,N1A,H,3,2,17.92,9.5,3.14,0,
2021,,N1A,H,4,1,29.68,2.02,0,0,
2021,,N1A,H,4,2,49.56,2.49,0,0,
2021,,N1A,H,5,1,41.91,16.52,0,4.49,
2021,,N1A,H,5,2,27.2,16.34,0,4.72,
2021,,N1A,H,6,1,10.85,4.85,0,0,
2021,,N1A,H,6,2,9.94,12.34,0,0,
2021,,N1A,I,1,1,30.53,2.65,0,0,
2021,,N1A,I,1,2,15.36,3.45,0,0,
2021,,N1A,I,2,1,31.33,4.33,0,0,
2021,,N1A,I,2,2,16.32,2.69,0,0,
2021,,N1A,I,3,1,17.79,24.3,0,0,
2021,,N1A,I,3,2,22.7,12.59,0,0,
2021,,N1A,I,4,1,40.45,9.3,0,0,
2021,,N1A,I,4,2,33.51,11.65,0,0,
2021,,N1A,I,5,1,35.33,30.2,0,0.69,
2021,,N1A,I,5,2,41,0,0,0,
2021,,N1A,I,6,1,13.56,37.11,0,0,
2021,,N1A,I,6,2,20.14,10.54,0,0,
2021,,N4B,J,1,1,45.25,2.12194,0,48.01,
2021,,N4B,J,1,2,28.1,7.52,0,71.93,
2021,,N4B,J,2,1,27.35,0,0,33.84,
2021,,N4B,J,2,2,46.52,0,0,32.09,
2021,,N4B,J,3,1,8.89,1.02,0,7.36,
2021,,N4B,J,3,2,6.72,6.81,0,4.29,
2021,,N4B,J,4,1,28.42,53.77,0,101.22,
2021,,N4B,J,4,2,11.81,22.01,0,76,
2021,,N4B,J,5,1,53.03,1.44,0,46.05,
2021,,N4B,J,5,2,45.2,0.01,0,36.36,
2021,,N4B,J,6,1,11.76,10.99,0,3.18,
2021,,N4B,J,6,2,16.41,12.65,0,7.62,
2021,,N4B,K,1,1,35.07,7.21,0,29.24,
2021,,N4B,K,1,2,69.09,1.15,0,56.59,
2021,,N4B,K,2,1,28.02,0.61,0,18.66,
2021,,N4B,K,2,2,28.55,2.51,0,26.22,
2021,,N4B,K,3,1,7.61,16.97,0,1.69,
2021,,N4B,K,3,2,7.09,8.6,0,1.38,
2021,,N4B,K,4,1,9.01,1.09,0,53.14,
2021,,N4B,K,4,2,1.98,2.65,0,62.9,
2021,,N4B,K,5,1,22.08,2.02,0,28.99,
2021,,N4B,K,5,2,34.04,1.67,0,24.21,
2021,,N4B,K,6,1,15.79,5.09,0,5.82,
2021,,N4B,K,6,2,13.58,18.5,0,3.8,
2021,,N4B,L,1,1,19.57,0.65,0,21.7,
2021,,N4B,L,1,2,16.21,0.98,0,22.37,
2021,,N4B,L,2,1,27.51,1.94,0,33.69,
2021,,N4B,L,2,2,13.83,0.98,0,30.57,
2021,,N4B,L,3,1,19.94,22.3,0,0,
2021,,N4B,L,3,2,8.05,2.4,0,0,
2021,,N4B,L,4,1,41.62,3.71,0,26.91,
2021,,N4B,L,4,2,32.47,0.51,0,31.44,
2021,,N4B,L,5,1,,,,,no biomass in any bag
2021,,N4B,L,5,2,33.11,3.56,0,39.76,
2021,,N4B,L,6,1,20.48,3.18,0,3.03,
2021,,N4B,L,6,2,27.08,2.74,0,4.89,
2021,,N4B,M,1,1,29.66,3.62,0,46,
2021,,N4B,M,1,2,31.69,7.6,0,37.27,
2021,,N4B,M,2,1,22.79,42.38,0,82.96,
2021,,N4B,M,2,2,32.69,0,0,49.98,
2021,,N4B,M,3,1,9.56,2.49,0,100.24,
2021,,N4B,M,3,2,17.46,6.38,0,38.78,
2021,,N4B,M,4,1,49.49,2.41,0,38.82,
2021,,N4B,M,4,2,47.05,0.89,0,59.39,
2021,,N4B,M,5,1,30.08,0,0,31.77,
2021,,N4B,M,5,2,14.27,0,0,33.91,
2021,,N4B,M,6,1,20.43,8.03,0,0,
2021,,N4B,M,6,2,21.06,3.85,0,11.67,
2021,,N4B,N,1,1,28.28,7.47,0,3.92,
2021,,N4B,N,1,2,57.74,5.16,0,50.41,
