year,experiment,watershed,block,plot,strip,grass,forb,woody,pdead,notes
2022,conSME,N1A,A,1,1,47.73,14.77,,,
2022,conSME,N1A,A,1,2,43.27,13.72,,,"""? not the correct slot, but didnt have the bag. Assumign it was A1(2)"" - HC "
2022,conSME,N1A,A,2,1,41.01,16.7,,1.96,
2022,conSME,N1A,A,2,2,40.16,6.83,,,
2022,conSME,N1A,A,3,1,12.72,63.12,,,
2022,conSME,N1A,A,3,2,15.53,14.3,,22.75,"""Mystery mesaurement 82.67 (grass), 28.53 (forb). Possibly A3(2)"" - HC"
2022,conSME,N1A,A,4,1,53.85,11.43,,,
2022,conSME,N1A,A,4,2,40.95,6.26,,,
2022,conSME,N1A,A,5,1,85.08,3.08,,,
2022,conSME,N1A,A,5,2,45.75,2.91,,,
2022,conSME,N1A,A,6,1,8.57,47.1,,,
2022,conSME,N1A,A,6,2,22.32,67.8,3.22,37.26,
2022,conSME,N1A,B,1,1,71.84,15.67,,,
2022,conSME,N1A,B,1,2,84.8,9.28,,,
2022,conSME,N1A,B,2,1,79.53,11.24,0.64,,
2022,conSME,N1A,B,2,2,37,4.43,26.92,,
2022,conSME,N1A,B,3,1,26.34,11.22,15.67,10.39,
2022,conSME,N1A,B,3,2,35.68,5.38,12.89,,
2022,conSME,N1A,B,4,1,38.52,13.43,,,
2022,conSME,N1A,B,4,2,44.98,10.15,,,
2022,conSME,N1A,B,5,1,21.48,13.93,,,
2022,conSME,N1A,B,5,2,29.81,4.44,32.82,,
2022,conSME,N1A,B,6,1,22.53,17.38,28.77,13.69,
2022,conSME,N1A,B,6,2,42.31,12.2,,,
2022,conSME,N1A,C,1,1,41.63,13.88,,,
2022,conSME,N1A,C,1,2,38.22,10.87,,,
2022,conSME,N1A,C,2,1,65.45,4.13,3.9,,
2022,conSME,N1A,C,2,2,39.05,,,,
2022,conSME,N1A,C,3,1,21.16,3.68,,,
2022,conSME,N1A,C,3,2,14.5,0.22,,,
2022,conSME,N1A,C,4,1,30.52,3.48,,,
2022,conSME,N1A,C,4,2,70.83,2.26,,,
2022,conSME,N1A,C,5,1,50.53,12.28,,,
