,year,season,date,watershed,block,plot,sppnum,taxa,cover,notes
1,2020,fall,8/31/2020,N1A,A,1,2,Andropogon gerardii,65,
2,2020,fall,8/31/2020,N1A,A,1,18,Sorghastrum nutans,5,
3,2020,fall,8/31/2020,N1A,A,1,21,Sporobolus compositus,1,
4,2020,spring,6/15/2020,N1A,A,1,32,Carex gravida,2,
5,2020,spring,6/15/2020,N1A,A,1,34,Carex meadii,3,
6,2020,fall,8/31/2020,N1A,A,1,42,Rosa arkansana,4,
7,2020,fall,8/31/2020,N1A,A,1,43,Symphoricarpos orbiculatus,1,
8,2020,fall,8/31/2020,N1A,A,1,46,Ambrosia psilostachya,12,
9,2020,fall,8/31/2020,N1A,A,1,52,Artemisia ludoviciana,1,
10,2020,fall,8/31/2020,N1A,A,1,86,Brickellia eupatorioides,1,
11,2020,spring,6/15/2020,N1A,A,1,111,Physalis pumila,3,
12,2020,fall,8/31/2020,N1A,A,1,127,Solidago altissima,16,
13,2020,fall,8/31/2020,N1A,A,1,140,Vernonia baldwinii,14,
14,2020,spring,6/15/2020,N1A,A,1,143,Lespedeza violacea,70,
15,2020,fall,8/31/2020,N1A,A,1,193,Euphorbia dentata,2,
16,2020,fall,8/31/2020,N1A,A,2,2,Andropogon gerardii,75,
17,2020,fall,8/31/2020,N1A,A,2,18,Sorghastrum nutans,15,
18,2020,spring,6/15/2020,N1A,A,2,31,Carex brevior,1,
19,2020,spring,6/15/2020,N1A,A,2,34,Carex meadii,3,
20,2020,fall,8/31/2020,N1A,A,2,43,Symphoricarpos orbiculatus,10,
21,2020,fall,8/31/2020,N1A,A,2,46,Ambrosia psilostachya,2,
22,2020,fall,8/31/2020,N1A,A,2,52,Artemisia ludoviciana,3,
23,2020,fall,8/31/2020,N1A,A,2,86,Brickellia eupatorioides,4,
24,2020,spring,6/15/2020,N1A,A,2,120,Ruellia humilis,1,
25,2020,fall,8/31/2020,N1A,A,2,127,Solidago altissima,6,
26,2020,fall,8/31/2020,N1A,A,2,140,Vernonia baldwinii,3,
27,2020,spring,6/15/2020,N1A,A,2,143,Lespedeza violacea,45,
28,2020,fall,8/31/2020,N1A,A,2,180,Teucrium canadense,9,
29,2020,fall,8/31/2020,N1A,A,2,218,Tridens flavus,4,
30,2020,fall,8/31/2020,N1A,A,2,228,Mirabilis albida,1,
31,2020,fall,8/31/2020,N1A,A,3,2,Andropogon gerardii,45,
32,2020,fall,8/31/2020,N1A,A,3,3,Schizachyrium scoparium,3,
33,2020,fall,8/31/2020,N1A,A,3,18,Sorghastrum nutans,10,
34,2020,spring,6/15/2020,N1A,A,3,34,Carex meadii,4,
35,2020,fall,8/31/2020,N1A,A,3,46,Ambrosia psilostachya,24,
36,2020,fall,8/31/2020,N1A,A,3,86,Brickellia eupatorioides,4,
37,2020,fall,8/31/2020,N1A,A,3,127,Solidago altissima,3,
38,2020,fall,8/31/2020,N1A,A,3,140,Vernonia baldwinii,7,
39,2020,spring,6/15/2020,N1A,A,3,143,Lespedeza violacea,70,
40,2020,fall,8/31/2020,N1A,A,3,300,Euphorbia nutans,1,
41,2020,fall,8/31/2020,N1A,A,4,2,Andropogon gerardii,65,
42,2020,fall,8/31/2020,N1A,A,4,3,Schizachyrium scoparium,5,
43,2020,fall,8/31/2020,N1A,A,4,15,Panicum virgatum,2,
44,2020,fall,8/31/2020,N1A,A,4,18,Sorghastrum nutans,4,
45,2020,spring,6/15/2020,N1A,A,4,33,Carex inops,3,
46,2020,spring,6/15/2020,N1A,A,4,34,Carex meadii,4,
47,2020,fall,8/31/2020,N1A,A,4,42,Rosa arkansana,5,
48,2020,fall,8/31/2020,N1A,A,4,46,Ambrosia psilostachya,12,
49,2020,fall,8/31/2020,N1A,A,4,52,Artemisia ludoviciana,3,
50,2020,fall,8/31/2020,N1A,A,4,58,Symphyotrichum ericoides,1,
51,2020,fall,8/31/2020,N1A,A,4,90,Lespedeza capitata,2,
52,2020,spring,6/15/2020,N1A,A,4,109,Dalea purpurea,1,
53,2020,fall,8/31/2020,N1A,A,4,127,Solidago altissima,15,
54,2020,fall,8/31/2020,N1A,A,4,140,Vernonia baldwinii,7,
55,2020,spring,6/15/2020,N1A,A,4,143,Lespedeza violacea,27,
56,2020,fall,8/31/2020,N1A,A,4,151,Kummerowia stipulacea,1,
57,2020,fall,8/31/2020,N1A,A,4,209,Setaria viridis,1,
58,2020,fall,8/31/2020,N1A,A,4,300,Euphorbia nutans,1,
59,2020,fall,8/31/2020,N1A,A,5,2,Andropogon gerardii,70,
60,2020,fall,8/31/2020,N1A,A,5,18,Sorghastrum nutans,20,
61,2020,spring,6/15/2020,N1A,A,5,31,Carex brevior,1,
62,2020,spring,6/15/2020,N1A,A,5,34,Carex meadii,2,
63,2020,fall,8/31/2020,N1A,A,5,42,Rosa arkansana,5,
64,2020,fall,8/31/2020,N1A,A,5,46,Ambrosia psilostachya,3,
65,2020,fall,8/31/2020,N1A,A,5,52,Artemisia ludoviciana,1,
66,2020,fall,8/31/2020,N1A,A,5,86,Brickellia eupatorioides,1,
67,2020,spring,6/15/2020,N1A,A,5,111,Physalis pumila,1,
68,2020,spring,6/15/2020,N1A,A,5,112,Physalis virginiana,1,
69,2020,fall,8/31/2020,N1A,A,5,127,Solidago altissima,18,
70,2020,fall,8/31/2020,N1A,A,5,140,Vernonia baldwinii,5,
71,2020,spring,6/15/2020,N1A,A,5,143,Lespedeza violacea,85,
