year,season,date,watershed,block,plot,sppnum,taxa,cover,flw_cover,flw_number,notes
2021,Spring,5/23/2021,N1A,A,6,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,6,34,Carex meadii,8,NA,NA,
2021,Spring,5/23/2021,N1A,A,6,143,Lespedeza violacea,14,NA,NA,
2021,Spring,5/23/2021,N1A,A,6,120,Ruellia humilis,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,2,Andropogon gerardii,35,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,14,Dichanthelium oligosanthes,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,18,Sorghastrum nutans,20,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,46,Ambrosia psilostachya,5,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,86,Brickellia eupatorioides,9,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,156,Acalypha virginica,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,300,Euphorbia nutans,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,90,Lespedeza capitata,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,143,Lespedeza violacea,55,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,127,Solidago altissima,23,NA,NA,
2021,Fall,8/13/2021,N1A,A,6,140,Vernonia baldwinii,9,NA,NA,
2021,Spring,5/23/2021,N1A,A,3,34,Carex meadii,6,NA,NA,
2021,Spring,5/23/2021,N1A,A,3,55,Asclepias verticillata,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,3,80,Euphorbia glyptosperma,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,3,143,Lespedeza violacea,29,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,2,Andropogon gerardii,15,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,14,Dichanthelium oligosanthes,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,3,Schizachyrium scoparium,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,18,Sorghastrum nutans,11,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,46,Ambrosia psilostachya,30,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,55,Asclepias verticillata,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,86,Brickellia eupatorioides,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,300,Euphorbia nutans,2,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,143,Lespedeza violacea,95,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,127,Solidago altissima,9,NA,NA,
2021,Fall,8/13/2021,N1A,A,3,140,Vernonia baldwinii,12,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,33,Carex inops,4,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,34,Carex meadii,8,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,109,Dalea purpurea,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,193,Euphorbia dentata,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,143,Lespedeza violacea,25,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,111,Physalis pumila,1,NA,NA,
2021,Spring,5/23/2021,N1A,A,4,42,Rosa arkansana,1,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,2,Andropogon gerardii,40,NA,NA,
2021,Fall,8/13/2021,N1A,A,4,11,Eragrostis spectabilis,3,NA,NA,
