year,season,date,watershed,block,plot,sppnum,taxa,cover,notes
2022,late,8/11/2022,N1A,A,1,2,Andropogon gerardii,70,
2022,late,8/11/2022,N1A,A,4,2,Andropogon gerardii,40,
2022,late,8/11/2022,N1A,A,5,2,Andropogon gerardii,60,
2022,early,6/8/2022,N1A,A,4,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N1A,A,5,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N1A,A,4,15,Panicum virgatum,5,
2022,late,8/11/2022,N1A,A,1,3,Schizachyrium scoparium,15,
2022,late,8/11/2022,N1A,A,4,3,Schizachyrium scoparium,40,
2022,late,8/11/2022,N1A,A,5,3,Schizachyrium scoparium,65,
2022,late,8/11/2022,N1A,A,4,18,Sorghastrum nutans,6,
2022,late,8/11/2022,N1A,A,1,21,Sporobolus compositus (asper),2,
2022,early,6/8/2022,N1A,A,4,519,Carex austrina,2,
2022,early,6/8/2022,N1A,A,1,32,Carex gravida,4,
2022,early,6/8/2022,N1A,A,5,32,Carex gravida,2,
2022,early,6/8/2022,N1A,A,4,33,Carex inops (heliophila),1,
2022,early,6/8/2022,N1A,A,5,33,Carex inops (heliophila),1,
2022,early,6/8/2022,N1A,A,1,34,Carex meadii,9,
2022,early,6/8/2022,N1A,A,4,34,Carex meadii,5,
2022,early,6/8/2022,N1A,A,5,34,Carex meadii,2,
2022,late,8/11/2022,N1A,A,1,46,Ambrosia psylostachya,2,
2022,late,8/11/2022,N1A,A,4,46,Ambrosia psylostachya,2,
2022,late,8/11/2022,N1A,A,5,46,Ambrosia psylostachya,3,
2022,early,6/8/2022,N1A,A,1,52,Artemesia ludoviciana,2,
2022,late,8/11/2022,N1A,A,1,52,Artemesia ludoviciana,2,
2022,early,6/8/2022,N1A,A,4,52,Artemesia ludoviciana,3,
2022,late,8/11/2022,N1A,A,4,52,Artemesia ludoviciana,1,
2022,late,8/11/2022,N1A,A,4,86,Brickelia (Kuhnia) eupatoroides,1,
2022,late,8/11/2022,N1A,A,5,86,Brickelia (Kuhnia) eupatoroides,3,
2022,early,6/8/2022,N1A,A,4,109,Dalea purpurea,4,
2022,late,8/11/2022,N1A,A,1,193,Euphorbia dentata,1,
2022,late,8/11/2022,N1A,A,4,193,Euphorbia dentata,1,
2022,early,6/8/2022,N1A,A,1,43,Symphoricarpos (Aster) orbiculatus,2,
2022,early,6/8/2022,N1A,A,5,300,Euphorbia nutans,1,
2022,late,8/11/2022,N1A,A,4,90,Lespedeza capitata,5,
2022,early,6/8/2022,N1A,A,1,143,Lespedeza violacea,75,
2022,late,8/11/2022,N1A,A,1,143,Lespedeza violacea,95,
2022,early,6/8/2022,N1A,A,4,143,Lespedeza violacea,55,
2022,late,8/11/2022,N1A,A,4,143,Lespedeza violacea,70,
2022,early,6/8/2022,N1A,A,5,143,Lespedeza violacea,60,
2022,late,8/11/2022,N1A,A,5,143,Lespedeza violacea,90,
2022,early,6/8/2022,N1A,A,4,102,Oxalis stricta,1,
2022,early,6/8/2022,N1A,A,4,103,Oxalis violacea,1,
2022,early,6/8/2022,N1A,A,1,111,Physalis pumila,3,
2022,late,8/11/2022,N1A,A,1,111,Physalis pumila,4,
2022,early,6/8/2022,N1A,A,4,111,Physalis pumila,3,
2022,late,8/11/2022,N1A,A,4,111,Physalis pumila,1,
2022,early,6/8/2022,N1A,A,5,111,Physalis pumila,2,
2022,late,8/11/2022,N1A,A,5,111,Physalis pumila,2,
2022,early,6/8/2022,N1A,A,1,42,Rosa arkansana,3,
2022,late,8/11/2022,N1A,A,1,42,Rosa arkansana,6,
2022,early,6/8/2022,N1A,A,4,42,Rosa arkansana,3,
2022,early,6/8/2022,N1A,A,5,42,Rosa arkansana,5,
2022,late,8/11/2022,N1A,A,1,127,Solidago altissima,5,
2022,late,8/11/2022,N1A,A,4,127,Solidago altissima,4,
2022,late,8/11/2022,N1A,A,5,127,Solidago altissima,5,
2022,late,8/11/2022,N1A,A,4,59,Symphyotrichym (Aster) oblongifolium,5,
2022,early,6/8/2022,N1A,A,1,158,Ulmus americana,1,
2022,late,8/11/2022,N1A,A,1,140,Vernonia baldwinii,9,
2022,late,8/11/2022,N1A,A,4,140,Vernonia baldwinii,5,
2022,late,8/11/2022,N1A,A,5,140,Vernonia baldwinii,2,
2022,late,8/11/2022,N1A,C,5,2,Andropogon gerardii,100,
2022,late,8/11/2022,N1A,C,4,2,Andropogon gerardii,90,
2022,late,8/11/2022,N1A,C,1,2,Andropogon gerardii,95,
2022,late,8/11/2022,N1A,C,5,4,Bouteloua curtipendula,2,
2022,late,8/11/2022,N1A,C,4,4,Bouteloua curtipendula,4,
2022,late,8/11/2022,N1A,C,1,4,Bouteloua curtipendula,2,
2022,early,6/8/2022,N1A,C,5,14,Dichanthelum oligosanthes,1,
2022,early,6/8/2022,N1A,C,4,14,Dichanthelum oligosanthes,1,
2022,early,6/8/2022,N1A,C,1,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N1A,C,1,14,Dichanthelum oligosanthes,1,
2022,late,8/11/2022,N1A,C,5,3,Schizachyrium scoparium,5,
2022,late,8/11/2022,N1A,C,4,3,Schizachyrium scoparium,8,
2022,late,8/11/2022,N1A,C,1,3,Schizachyrium scoparium,10,
2022,late,8/11/2022,N1A,C,5,18,Sorghastrum nutans,25,
2022,late,8/11/2022,N1A,C,4,18,Sorghastrum nutans,30,
2022,late,8/11/2022,N1A,C,1,18,Sorghastrum nutans,15,
2022,late,8/11/2022,N1A,C,1,21,Sporobolus compositus (asper),2,
2022,early,6/8/2022,N1A,C,1,31,Carex brevior,1,
2022,early,6/8/2022,N1A,C,5,33,Carex inops (heliophila),1,
2022,early,6/8/2022,N1A,C,5,34,Carex meadii,3,
2022,early,6/8/2022,N1A,C,4,34,Carex meadii,3,
2022,early,6/8/2022,N1A,C,1,34,Carex meadii,12,
2022,late,8/11/2022,N1A,C,5,46,Ambrosia psilostachya,1,
2022,late,8/11/2022,N1A,C,4,46,Ambrosia psilostachya,3,
2022,late,8/11/2022,N1A,C,1,46,Ambrosia psilostachya,5,
2022,early,6/8/2022,N1A,C,1,55,Asclepias verticillata,1,
2022,late,8/11/2022,N1A,C,4,86,Brickelia (Kuhnia) eupatoroides,10,
2022,late,8/11/2022,N1A,C,1,86,Brickelia (Kuhnia) eupatoroides,2,
2022,early,6/8/2022,N1A,C,4,125,Sisyrinchium campestre,1,
2022,early,6/8/2022,N1A,C,5,143,Lespedeza violacea,95,
2022,early,6/8/2022,N1A,C,4,143,Lespedeza violacea,80,
2022,early,6/8/2022,N1A,C,1,143,Lespedeza violacea,50,
2022,late,8/11/2022,N1A,C,1,143,Lespedeza violacea,70,
2022,early,6/8/2022,N1A,C,5,122,Mimosa (Schrankii) quadrivalvis,4,
