year,season,date,watershed,block,plot,sppnum,taxa,cover,flowernum,notes
2023,early,5/27/2023,N1A,A,1,032,Carex gravida,3,,
2023,early,5/27/2023,N1A,A,1,034,Carex meadii,10,,
2023,early,5/27/2023,N1A,A,1,042,Rosa arkansana,4,,
2023,early,5/27/2023,N1A,A,1,111,Physalis pumila,1,,
2023,early,5/27/2023,N1A,A,1,143,Lespedeza violacea,60,,
2023,early,5/27/2023,N1A,A,1,253,Mirabilus linearis,1,,
2023,early,5/27/2023,N1A,A,1,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,A,1,002,Andropogon gerardii,85,,
2023,late,8/2/2023,N1A,A,1,018,Sorghastrum nutans,20,,
2023,late,8/2/2023,N1A,A,1,021,Sporobolus compositus (asper),1,,
2023,late,8/2/2023,N1A,A,1,042,Rosa arkansana,2,,
2023,late,8/2/2023,N1A,A,1,046,Ambrosia psilostachya,1,,
2023,late,8/2/2023,N1A,A,1,052,Artemesia ludoviciana,3,,
2023,late,8/2/2023,N1A,A,1,058,Symphyotrichym (Aster) ericoides,2,,
2023,late,8/2/2023,N1A,A,1,086,Brickelia (Kuhnia) eupatoroides,1,,
2023,late,8/2/2023,N1A,A,1,111,Physalis pumila,1,,
2023,late,8/2/2023,N1A,A,1,127,Solidago altissima,6,,
2023,late,8/2/2023,N1A,A,1,140,Vernonia baldwinii,10,,
2023,late,8/2/2023,N1A,A,1,143,Lespedeza violacea,90,,
2023,late,8/2/2023,N1A,A,1,158,Ulmus americana,2,,
2023,early,5/27/2023,N1A,A,2,031,Carex brevior,3,,carex in flower
2023,early,5/27/2023,N1A,A,2,034,Carex meadii,9,,
2023,early,5/27/2023,N1A,A,2,043,Symphoricarpos orbiculatus,8,,
2023,early,5/27/2023,N1A,A,2,078,Euphorbia marginata,1,,
2023,early,5/27/2023,N1A,A,2,111,Physalis pumila,1,,
2023,early,5/27/2023,N1A,A,2,139,Verbena stricta,1,,
2023,early,5/27/2023,N1A,A,2,143,Lespedeza violacea,40,,
2023,early,5/27/2023,N1A,A,2,218,Tridens flavus,2,,
2023,late,8/2/2023,N1A,A,2,002,Andropogon gerardii,85,,
2023,late,8/2/2023,N1A,A,2,018,Sorghastrum nutans,12,,
2023,late,8/2/2023,N1A,A,2,043,Symphoricarpos orbiculatus,10,,
2023,late,8/2/2023,N1A,A,2,046,Ambrosia psilostachya,4,,
2023,late,8/2/2023,N1A,A,2,052,Artemesia ludoviciana,3,,
2023,late,8/2/2023,N1A,A,2,078,Euphorbia marginata,1,,
2023,late,8/2/2023,N1A,A,2,086,Brickelia (Kuhnia) eupatoroides,5,,
2023,late,8/2/2023,N1A,A,2,111,Physalis pumila,1,,
2023,late,8/2/2023,N1A,A,2,120,Ruellia humilis,2,,
2023,late,8/2/2023,N1A,A,2,127,Solidago altissima,3,,
2023,late,8/2/2023,N1A,A,2,140,Vernonia baldwinii,4,,
2023,late,8/2/2023,N1A,A,2,143,Lespedeza violacea,50,,
2023,late,8/2/2023,N1A,A,2,180,Teucrium canadense,4,,
2023,late,8/2/2023,N1A,A,2,218,Tridens flavus,8,,
2023,early,5/27/2023,N1A,A,3,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,A,3,034,Carex meadii,7,,
2023,early,5/27/2023,N1A,A,3,055,Asclepias verticillata,1,,
2023,early,5/27/2023,N1A,A,3,103,Oxalis violacea,1,,
2023,early,5/27/2023,N1A,A,3,107,Dalea multiflora,2,,
2023,early,5/27/2023,N1A,A,3,139,Verbena stricta,2,,
2023,early,5/27/2023,N1A,A,3,143,Lespedeza violacea,55,,
2023,early,5/27/2023,N1A,A,3,185,Calystegia macounii,5,,
2023,early,5/27/2023,N1A,A,3,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,A,3,002,Andropogon gerardii,8,,carex notes/species description on back of page
2023,late,8/2/2023,N1A,A,3,014,Dichanthelium oligosanthes,1,,
2023,late,8/2/2023,N1A,A,3,018,Sorghastrum nutans,15,,
2023,late,8/2/2023,N1A,A,3,046,Ambrosia psilostachya,4,,
2023,late,8/2/2023,N1A,A,3,086,Brickelia (Kuhnia) eupatoroides,2,,
2023,late,8/2/2023,N1A,A,3,127,Solidago altissima,5,,
2023,late,8/2/2023,N1A,A,3,139,Verbena stricta,4,,
2023,late,8/2/2023,N1A,A,3,140,Vernonia baldwinii,9,,
2023,late,8/2/2023,N1A,A,3,143,Lespedeza violacea,45,,
2023,late,8/2/2023,N1A,A,3,156,Acalypha virginica,1,,
2023,late,8/2/2023,N1A,A,3,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,A,4,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,A,4,033,Carex inops (heliophila),2,,
2023,early,5/27/2023,N1A,A,4,034,Carex meadii,8,,
2023,early,5/27/2023,N1A,A,4,042,Rosa arkansana,3,,
2023,early,5/27/2023,N1A,A,4,143,Lespedeza violacea,35,,
2023,early,5/27/2023,N1A,A,4,253,Mirabilus linearis,1,,
2023,late,8/2/2023,N1A,A,4,002,Andropogon gerardii,85,,
2023,late,8/2/2023,N1A,A,4,003,Schizachyrium scoparium,6,,
2023,late,8/2/2023,N1A,A,4,015,Panicum virgatum,7,,
2023,late,8/2/2023,N1A,A,4,018,Sorghastrum nutans,5,,
2023,late,8/2/2023,N1A,A,4,042,Rosa arkansana,4,,
2023,late,8/2/2023,N1A,A,4,052,Artemesia ludoviciana,7,,
2023,late,8/2/2023,N1A,A,4,058,Symphyotrichym (Aster) ericoides,13,,
2023,late,8/2/2023,N1A,A,4,090,Lespedeza capitata,7,,
2023,late,8/2/2023,N1A,A,4,111,Physalis pumila,2,,
2023,late,8/2/2023,N1A,A,4,121,Salvia azurea,1,,
2023,late,8/2/2023,N1A,A,4,127,Solidago altissima,1,,
2023,late,8/2/2023,N1A,A,4,140,Vernonia baldwinii,7,,
2023,late,8/2/2023,N1A,A,4,143,Lespedeza violacea,70,,
2023,early,5/27/2023,N1A,A,5,031,Carex brevior,2,,carex in flower
2023,early,5/27/2023,N1A,A,5,034,Carex meadii,6,,
2023,early,5/27/2023,N1A,A,5,042,Rosa arkansana,2,,
2023,early,5/27/2023,N1A,A,5,103,Oxalis violacea,3,,
2023,early,5/27/2023,N1A,A,5,111,Physalis pumila,1,,
2023,early,5/27/2023,N1A,A,5,143,Lespedeza violacea,50,,
2023,early,5/27/2023,N1A,A,5,180,Teucrium canadense,2,,
2023,late,8/2/2023,N1A,A,5,002,Andropogon gerardii,80,,
2023,late,8/2/2023,N1A,A,5,002,Andropogon gerardii,45,,
2023,late,8/2/2023,N1A,A,5,018,Sorghastrum nutans,30,,
2023,late,8/2/2023,N1A,A,5,042,Rosa arkansana,4,,
2023,late,8/2/2023,N1A,A,5,046,Ambrosia psilostachya,5,,
2023,late,8/2/2023,N1A,A,5,086,Brickelia (Kuhnia) eupatoroides,6,,
2023,late,8/2/2023,N1A,A,5,127,Solidago altissima,3,,
2023,late,8/2/2023,N1A,A,5,140,Vernonia baldwinii,3,,
2023,late,8/2/2023,N1A,A,5,143,Lespedeza violacea,70,,
2023,late,8/2/2023,N1A,A,5,180,Teucrium canadense,2,,
2023,early,5/27/2023,N1A,A,6,014,Dichanthelium oligosanthes,3,,
2023,early,5/27/2023,N1A,A,6,032,Carex gravida,2,,
2023,early,5/27/2023,N1A,A,6,034,Carex meadii,6,,
2023,early,5/27/2023,N1A,A,6,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,A,6,143,Lespedeza violacea,45,,
2023,early,5/27/2023,N1A,A,6,185,Calystegia macounii,6,,
2023,early,5/27/2023,N1A,A,6,218,Tridens flavus,1,,KK pic
2023,early,5/27/2023,N1A,A,6,300,Euphorbia nutans,1,,
2023,late,8/2/2023,N1A,A,6,014,Dichanthelium oligosanthes,1,,
2023,late,8/2/2023,N1A,A,6,018,Sorghastrum nutans,11,,
2023,late,8/2/2023,N1A,A,6,046,Ambrosia psilostachya,5,,
2023,late,8/2/2023,N1A,A,6,086,Brickelia (Kuhnia) eupatoroides,8,,
2023,late,8/2/2023,N1A,A,6,090,Lespedeza capitata,4,,
2023,late,8/2/2023,N1A,A,6,120,Ruellia humilis,1,,
2023,late,8/2/2023,N1A,A,6,127,Solidago altissima,9,,
2023,late,8/2/2023,N1A,A,6,140,Vernonia baldwinii,17,,
2023,late,8/2/2023,N1A,A,6,143,Lespedeza violacea,50,,
2023,late,8/2/2023,N1A,A,6,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,B,1,014,Dichanthelium oligosanthes,1,,
2023,early,5/27/2023,N1A,B,1,031,Carex brevior,2,,carex in flower
2023,early,5/27/2023,N1A,B,1,034,Carex meadii,4,,
2023,early,5/27/2023,N1A,B,1,069,Callirhoe involucrate,2,,
2023,early,5/27/2023,N1A,B,1,112,Physalis virginiana,1,,
2023,early,5/27/2023,N1A,B,1,120,Ruellia humilis,1,,
2023,early,5/27/2023,N1A,B,1,143,Lespedeza violacea,60,,
2023,early,5/27/2023,N1A,B,1,234,Rhus glabra,2,,
2023,early,5/27/2023,N1A,B,1,300,Euphorbia nutans,1,,
2023,early,5/27/2023,N1A,B,1,519,Carex austrina,3,,carex in flower
2023,late,8/2/2023,N1A,B,1,002,Andropogon gerardii,75,,
