"sppnum","genus_species","lifeform","watershed","freq","avg_cover"
2,"andropogon_gerardii","g","N1A",54,30.2962962962963
2,"andropogon_gerardii","g","N4B",54,38.2037037037037
3,"schizachyrium_scoparium","g","N1A",46,8.41304347826087
3,"schizachyrium_scoparium","g","N4B",51,20.3333333333333
4,"bouteloua_curtipendula","g","N1A",44,21.4886363636364
4,"bouteloua_curtipendula","g","N4B",53,17.8396226415094
5,"bouteloua_gracilis","g","N1A",8,1.25
5,"bouteloua_gracilis","g","N4B",1,1
6,"bouteloua_hirsuta","g","N1A",16,1.8125
6,"bouteloua_hirsuta","g","N4B",12,4.58333333333333
7,"bouteloua_dactyloides","g","N1A",5,31
7,"bouteloua_dactyloides","g","N4B",7,10.7142857142857
11,"eragrostis_spectabilis","g","N1A",12,4.58333333333333
11,"eragrostis_spectabilis","g","N4B",19,2.73684210526316
12,"koeleria_macrantha","g","N1A",1,4
14,"dichanthelium_oligosanthes","g","N1A",39,1.96153846153846
14,"dichanthelium_oligosanthes","g","N4B",27,2.94444444444444
15,"panicum_virgatum","g","N1A",19,1.92105263157895
15,"panicum_virgatum","g","N4B",17,3.02941176470588
18,"sorghastrum_nutans","g","N1A",54,13.7407407407407
18,"sorghastrum_nutans","g","N4B",53,10.8679245283019
21,"sporobolus_compositus","g","N1A",25,2.82
21,"sporobolus_compositus","g","N4B",41,4.74390243902439
23,"sporobolus_heterolepis","g","N1A",2,15.5
23,"sporobolus_heterolepis","g","N4B",2,6.5
25,"bromus_arvensis","g","N1A",6,3
27,"vulpia_octoflora","g","N1A",4,1.875
27,"vulpia_octoflora","g","N4B",2,1
28,"hordeum_pusillum","g","N1A",8,2.0625
30,"schedonnardus_paniculatus","g","N1A",4,3.125
31,"carex_brevior","s","N1A",17,1.41176470588235
31,"carex_brevior","s","N4B",9,2.55555555555556
32,"carex_gravida","s","N1A",6,2.25
32,"carex_gravida","s","N4B",2,2
33,"carex_inops","s","N1A",34,1.76470588235294
33,"carex_inops","s","N4B",24,2.08333333333333
34,"carex_meadii","s","N1A",46,3.60869565217391
34,"carex_meadii","s","N4B",33,3.45454545454545
38,"eleocharis_compressa","s","N4B",2,12.75
40,"amorpha_canescens","w","N1A",7,14.0714285714286
40,"amorpha_canescens","w","N4B",3,4.5
41,"ceanothus_herbaceus","w","N4B",6,2
42,"rosa_arkansana","w","N1A",9,6.44444444444444
