"sppnum","genus_species","lifeform","N1A","N4B"
2,"andropogon_gerardii","g",54,54
3,"schizachyrium_scoparium","g",46,51
4,"bouteloua_curtipendula","g",44,53
5,"bouteloua_gracilis","g",8,1
6,"bouteloua_hirsuta","g",16,12
7,"bouteloua_dactyloides","g",5,7
11,"eragrostis_spectabilis","g",12,19
12,"koeleria_macrantha","g",1,NA
14,"dichanthelium_oligosanthes","g",39,27
15,"panicum_virgatum","g",19,17
18,"sorghastrum_nutans","g",54,53
21,"sporobolus_compositus","g",25,41
23,"sporobolus_heterolepis","g",2,2
25,"bromus_arvensis","g",6,NA
27,"vulpia_octoflora","g",4,2
28,"hordeum_pusillum","g",8,NA
30,"schedonnardus_paniculatus","g",4,NA
31,"carex_brevior","s",17,9
32,"carex_gravida","s",6,2
33,"carex_inops","s",34,24
34,"carex_meadii","s",46,33
38,"eleocharis_compressa","s",NA,2
40,"amorpha_canescens","w",7,3
41,"ceanothus_herbaceus","w",NA,6
42,"rosa_arkansana","w",9,2
43,"symphoricarpos_orbiculatus","w",4,11
44,"achillea_millefolium","f",3,3
46,"ambrosia_psilostachya","f",51,41
47,"androsace_occidentalis","f",3,NA
48,"anemone_caroliniana","f",1,NA
49,"antennaria_neglecta","f",1,NA
50,"apocynum_cannabinum","f",2,11
52,"artemisia_ludoviciana","f",17,15
54,"asclepias_stenophylla","f",1,NA
55,"asclepias_verticillata","f",8,16
56,"asclepias_viridis","f",4,2
58,"symphyotrichum_ericoides","f",39,48
59,"symphyotrichum_oblongifolium","f",6,22
60,"symphyotrichum_sericeum","f",NA,1
61,"astragalus_crassicarpus","f",7,6
62,"astragalus_lotiflorus","f",1,NA
69,"callirhoe_involucrata","f",5,4
70,"cirsium_undulatum","f",2,3
71,"conyza_canadensis","f",17,1
72,"croton_monanthogynus","f",16,23
73,"delphinium_carolinianum","f",1,NA
74,"descurainia_pinnata","f",2,NA
75,"draba_reptans","f",19,2
76,"echinacea_angustifolia","f",2,14
77,"erigeron_strigosus","f",18,1
78,"euphorbia_marginata","f",3,4
79,"euphorbia_spathulata","f",17,NA
80,"euphorbia_glyptosperma","f",13,1
82,"hedeoma_hispida","f",9,2
83,"hieracium_longipilum","f",NA,1
84,"hybanthus_verticillatus","f",7,16
85,"hymenopappus_scabiosaeus","f",10,2
86,"brickellia_eupatorioides","f",38,26
89,"lepidium_densiflorum","f",21,16
90,"lespedeza_capitata","f",31,9
91,"liatris_punctata","f",2,7
92,"linum_sulcatum","f",25,16
93,"lithospermum_incisum","f",1,6
94,"lomatium_foeniculaceum","f",2,6
99,"oenothera_speciosa","f",7,4
100,"oenothera_biennis","f",5,NA
102,"oxalis_stricta","f",21,19
103,"oxalis_violacea","f",30,35
104,"penstemon_cobaea","f",2,11
106,"dalea_candida","f",18,5
107,"dalea_multiflora","f",12,1
109,"dalea_purpurea","f",17,31
111,"physalis_pumila","f",19,22
112,"physalis_virginiana","f",8,1
114,"plantago_rhodosperma","f",20,16
115,"polygala_verticillata","f",12,6
116,"pediomelum_esculentum","f",4,6
118,"ratibida_columnifera","f",16,8
120,"ruellia_humilis","f",20,22
121,"salvia_azurea","f",3,4
122,"mimosa_quadrivalvis","f",8,20
123,"packera_plattensis","f",2,6
124,"silene_antirrhina","f",8,6
125,"sisyrinchium_campestre","m",3,8
126,"solanum_carolinense","f",4,3
127,"solidago_altissima","f",30,11
128,"solidago_missouriensis","f",10,14
129,"solidago_mollis","f",1,NA
130,"solidago_rigida","f",15,15
132,"spermolepis_inermis","f",10,1
134,"tragia_betonicifolia","f",2,29
136,"triodanis_leptocarpa","f",2,NA
137,"triodanis_perfoliata","f",9,1
138,"glandularia_bipinnatifida","f",7,5
139,"verbena_stricta","f",46,35
140,"vernonia_baldwinii","f",42,18
141,"viola_bicolor","f",2,2
143,"lespedeza_violacea","f",34,7
148,"prunus_americana","w",2,NA
149,"scutellaria_parvula","f",1,10
150,"agrostis_hyemalis","g",NA,1
151,"kummerowia_stipulacea","f",16,1
152,"asclepias_viridiflora","f",2,4
155,"agalinis_aspera","f",1,1
156,"acalypha_virginica","f",1,NA
158,"ulmus_americana","w",19,13
162,"taraxacum_officinale","f",1,NA
164,"cornus_drummondii","w",2,2
165,"cyperus_spp.","s",11,6
183,"grindelia_squarrosa","f",2,NA
187,"verbascum_blattaria","f",NA,1
193,"euphorbia_dentata","f",6,NA
194,"physalis_heterophylla","f",4,NA
206,"viola_nephrophylla","f",5,2
208,"solanum_rostratum","f",2,NA
211,"ambrosia_artemisiifolia","f",20,8
216,"euphorbia_serpens","f",NA,14
217,"helianthus_annuus","f",1,NA
218,"tridens_flavus","g",6,1
223,"stenaria_nigricans","f",4,NA
231,"toxicodendron_radicans","w",1,NA
234,"rhus_glabra","w",24,1
253,"mirabilis_linearis","f",5,2
256,"trichostema_brachiatum","f",2,NA
262,"rhus_aromatica","w",1,NA
265,"asclepias_sullivantii","f",1,NA
270,"symphyotrichum_lanceolatum","f",2,2
300,"euphorbia_nutans","f",53,34
327,"malvastrum_angustum","f",9,9
338,"plantago_patagonica","f",3,1
340,"muhlenbergia_racemosa","g",NA,2
384,"solanum_ptycanthum","f",1,NA
407,"cirsium_altissimum","f",1,5
428,"evolvulus_nuttallianus","f",5,8
429,"ipomoea_hederacea","f",2,NA
433,"desmodium_paniculatum","f",4,NA
438,"ammannia_coccinea","f",NA,1
501,"ophioglossum_vulgatum","o",NA,3
510,"ulmus_rubra","w",NA,2
519,"carex_austrina","s",23,7
523,"euphorbia_maculata","f",NA,6
525,"arenaria_serpyllifolia","f",1,1
539,"lepidium_virginicum","f",NA,6
