,Species,Intercept,Watershed (N4B),Treatment (BSI), Treatment (BSX),Treatment (XSI),Treatment (XSX),Treatment (XXI),Watershed (N4B) x Treatment (BSI),Watershed (N4B) x Treatment (BSX),Watershed (N4B) x Treatment (XSI),Watershed (N4B) x Treatment (XSX),Watershed (N4B) x Treatment (XXI_
1,Andropogon gerardii,3.889 (0.131)*,-0.088 (0.14),-0.649 (0.119)*,-0.771 (0.12)*,0.005 (0.117),-0.051 (0.117),0.002 (0.117),0.256 (0.169),0.296 (0.169),0.172 (0.167),-0.14 (0.167),-0.065 (0.167)
2,Eragrostis spectabilis,-0.325 (0.51),-0.63 (0.745),-1.025 (0.753),-1.025 (0.753),-1.025 (0.753),-0.83 (0.745),-0.368 (0.73),1.942 (1.058),2.134 (1.054)*,0.07 (1.105),0.741 (1.066),-0.249 (1.076)
3,Sorghastrum nutans,2.845 (0.176)*,-0.247 (0.2),-0.247 (0.147),-0.626 (0.149)*,-0.158 (0.147),0.036 (0.146),-0.108 (0.147),-0.139 (0.212),0.504 (0.212)*,-0.015 (0.211),-0.265 (0.211),-0.086 (0.212)
4,Sporobolus compositus,-0.548 (0.439),2.951 (0.52)*,-1.457 (0.419)*,-0.316 (0.352),-0.044 (0.343),-0.105 (0.345),0.283 (0.335),0.712 (0.528),0.363 (0.467),-0.947 (0.473)*,-0.419 (0.468),-1.083 (0.465)*
5,Carex gravida,-1.444 (0.45)*,-1.971 (0.388)*,-0.691 (0.679),1.418 (0.564)*,0.047 (0.617),-0.323 (0.644),0.473 (0.595),NA,NA,NA,NA,NA
6,Carex meadii,1.124 (0.42)*,-0.804 (0.592),-0.59 (0.183)*,-0.54 (0.18)*,-0.221 (0.174),-0.305 (0.173),-0.364 (0.175)*,-0.941 (0.309)*,-1.052 (0.306)*,-0.44 (0.277),-0.966 (0.293)*,0.153 (0.264)
7,Symphoricarpos orbiculatus,-1.337 (0.46)*,1.57 (0.344)*,0.08 (0.595),-0.182 (0.598),0.851 (0.585),1.516 (0.581)*,-1.076 (0.625),NA,NA,NA,NA,NA
8,Artemisia ludoviciana,0.636 (0.316)*,-0.087 (0.453),-1.293 (0.475)*,-1.58 (0.488)*,0.499 (0.443),-1.681 (0.493)*,-0.348 (0.452),0.581 (0.667),-0.76 (0.737),-1.603 (0.651)*,0.033 (0.702),0.617 (0.64)
9,Brickellia eupatorioides,1.101 (0.304)*,-1.572 (0.417)*,-0.88 (0.274)*,-0.642 (0.274)*,-0.271 (0.256),-1.49 (0.297)*,-0.968 (0.275)*,0.701 (0.429),0.74 (0.418),0.497 (0.418),1.613 (0.45)*,1.343 (0.43)*
10,Physalis pumila,0.981 (0.375)*,-1.455 (0.512)*,-1.485 (0.348)*,-0.712 (0.312)*,-1.334 (0.34)*,-2.308 (0.418)*,-0.871 (0.318)*,1.976 (0.506)*,1.158 (0.482)*,1.147 (0.519)*,2.07 (0.575)*,1.157 (0.491)*
11,Solidago altissima,1.925 (0.322)*,-0.213 (0.461),-0.388 (0.457),0.207 (0.456),-0.096 (0.456),1.025 (0.454)*,0.398 (0.455),-0.937 (0.659),-1.408 (0.655)*,-5.604 (1.191)*,-1.998 (0.652)*,-1.548 (0.656)*
12,Vernonia baldwinii,2.385 (0.256)*,-4.418 (0.516)*,-0.49 (0.219)*,-0.338 (0.217),-0.838 (0.225)*,-0.974 (0.227)*,-0.221 (0.216),1.629 (0.428)*,1.415 (0.426)*,-1.11 (0.702),1.886 (0.435)*,0.411 (0.458)
13,Lespedeza violacea,1.709 (0.796)*,-6.697 (1.631)*,0.711 (0.161)*,0.387 (0.172)*,0.359 (0.171)*,0.542 (0.167)*,0.561 (0.169)*,-0.729 (1.423),0.288 (1.237),2.1 (1.077),1.803 (1.085),3.547 (1.038)*
14,Ambrosia artemisiifolia,-0.811 (0.523),0.597 (0.734),0.829 (0.724),1.785 (0.716)*,0.583 (0.727),-0.981 (0.785),0.916 (0.723),-0.269 (1.019),-1.216 (1.011),-1.181 (1.033),-1.408 (1.168),-2.37 (1.06)*
15,Euphorbia nutans,-0.315 (0.247),-0.919 (0.294)*,0.375 (0.195),0.406 (0.193)*,-0.121 (0.218),-0.229 (0.225),-0.229 (0.225),-0.523 (0.402),-0.501 (0.396),-0.039 (0.414),-0.154 (0.437),-0.062 (0.43)
16,Schizachyrium scoparium,2.841 (0.295)*,-0.323 (0.359),-0.865 (0.253)*,-1.049 (0.259)*,-0.879 (0.25)*,-0.609 (0.246)*,-0.948 (0.245)*,0.466 (0.348),0.911 (0.349)*,1.507 (0.348)*,1.297 (0.345)*,1.609 (0.345)*
17,Hybanthus verticillatus,-3.079 (0.402)*,1.767 (0.313)*,-0.333 (0.477),-0.3 (0.472),0.068 (0.445),0.219 (0.435),0.244 (0.436),NA,NA,NA,NA,NA
