"","watershedN4B","trtBSI","trtBSX","trtXSI","trtXSX","trtXXI","watershedN4B:trtBSI","watershedN4B:trtBSX","watershedN4B:trtXSI","watershedN4B:trtXSX","watershedN4B:trtXXI"
"1","Apocynum cannabinum","Ambrosia artemisiifolia","Acalypha virginica","Amorpha canescens*","Artemisia ludoviciana*","Amorpha canescens*","Bouteloua curtipendula","Bouteloua hirsuta","Artemisia ludoviciana*","Bouteloua hirsuta","Ambrosia psilostachya*"
"2","Asclepias verticillata","Ambrosia psilostachya","Ambrosia artemisiifolia","Callirhoe involucrata","Brickellia eupatorioides*","Apocynum cannabinum","Bouteloua hirsuta","Carex meadii*","Bouteloua hirsuta","Brickellia eupatorioides","Apocynum cannabinum*"
"3","Asclepias viridis*","Andropogon gerardii*","Ambrosia psilostachya","Carex inops*","Callirhoe involucrata","Asclepias verticillata","Carex austrina","Conyza canadensis","Carex brevior*","Carex brevior*","Asclepias verticillata*"
"4","Brickellia eupatorioides*","Artemisia ludoviciana*","Amorpha canescens*","Dichanthelium oligosanthes*","Desmodium perplexum*","Asclepias viridis*","Carex inops","Dalea purpurea","Lespedeza violacea","Carex inops","Bouteloua hirsuta"
"5","Carex austrina*","Bouteloua curtipendula","Andropogon gerardii*","Lespedeza capitata*","Oenothera speciosa*","Brickellia eupatorioides*","Carex meadii*","Eragrostis spectabilis","Panicum virgatum","Carex meadii*","Brickellia eupatorioides"
"6","Carex inops*","Brickellia eupatorioides*","Artemisia ludoviciana*","Oxalis stricta*","Oxalis violacea*","Callirhoe involucrata","Croton monanthogynus*","Lespedeza capitata","Penstemon cobaea*","Lespedeza violacea","Carex brevior*"
"7","Cirsium altissimum","Carex austrina*","Bouteloua curtipendula","Oxalis violacea*","Physalis pumila*","Carex austrina*","Dalea purpurea*","Physalis pumila","Physalis pumila","Physalis pumila","Croton monanthogynus*"
"8","Desmodium perplexum*","Carex inops*","Brickellia eupatorioides*","Penstemon cobaea","Ruellia humilis*","Carex inops*","Lespedeza capitata","Ruellia humilis*","Ruellia humilis*","Schizachyrium scoparium","Lespedeza violacea"
"9","Euphorbia nutans*","Carex meadii*","Carex inops*","Physalis pumila*","Schizachyrium scoparium*","Carex meadii*","Mimosa quadrivalvis*","Schizachyrium scoparium","Schizachyrium scoparium","Solidago altissima*","Physalis pumila"
"10","Lepidium densiflorum*","Croton monanthogynus","Carex meadii*","Ratibida columnifera","Scutellaria parvula","Croton monanthogynus","Panicum virgatum","Solidago altissima*","Solidago altissima*","Solidago rigida*","Ruellia humilis*"
"11","Lespedeza capitata*","Dalea purpurea","Dalea candida*","Rhus glabra","Solidago altissima","Dalea candida*","Physalis pumila","Sorghastrum nutans","Solidago missouriensis","Symphoricarpos orbiculatus","Schizachyrium scoparium"
"12","Lespedeza violacea*","Lespedeza capitata*","Dalea purpurea*","Schizachyrium scoparium*","Solidago rigida","Oxalis stricta*","Solidago altissima*","Tragia betonicifolia*","Sporobolus compositus*","Symphyotrichum oblongifolium","Solidago altissima*"
"13","Panicum virgatum*","Oxalis violacea*","Desmodium perplexum*","Spermolepis inermis*","Symphoricarpos orbiculatus*","Oxalis violacea*","Solidago missouriensis","Verbena stricta","Symphyotrichum oblongifolium","Vernonia baldwinii","Solidago rigida"
"14","Penstemon cobaea","Panicum virgatum*","Euphorbia glyptosperma","Symphyotrichum ericoides*","Symphyotrichum ericoides*","Panicum virgatum*","Symphoricarpos orbiculatus","Vernonia baldwinii",,,"Sporobolus compositus*"
"15","Physalis pumila*","Physalis pumila*","Euphorbia nutans","Vernonia baldwinii*","Tridens flavus*","Physalis pumila*","Symphyotrichum ericoides",,,,"Symphoricarpos orbiculatus"
"16","Physalis virginiana*","Rhus glabra","Hedeoma hispida",,"Verbena stricta*","Physalis virginiana*","Verbena stricta",,,,"Symphyotrichum oblongifolium"
"17","Rhus glabra*","Schizachyrium scoparium*","Hordeum pusillum",,"Vernonia baldwinii*","Schizachyrium scoparium*","Vernonia baldwinii",,,,"Verbena stricta"
"18","Schedonnardus paniculatus*","Scutellaria parvula","Hymenopappus scabiosaeus",,"Viola nephrophylla*","Scutellaria parvula",,,,,
"19","Sporobolus compositus","Solidago altissima*","Kummerowia stipulacea",,,"Solidago missouriensis",,,,,
"20","Tragia betonicifolia","Solidago rigida","Oxalis violacea*",,,"Spermolepis inermis*",,,,,
"21","Verbena stricta*","Sporobolus compositus*","Panicum virgatum*",,,"Symphyotrichum ericoides*",,,,,
"22","Vernonia baldwinii*","Symphyotrichum ericoides*","Physalis pumila*",,,"Tridens flavus*",,,,,
"23",,"Verbena stricta*","Ratibida columnifera",,,"Verbena stricta*",,,,,
"24",,"Vernonia baldwinii*","Rhus glabra",,,"Viola nephrophylla*",,,,,
"25",,"Viola nephrophylla*","Schizachyrium scoparium*",,,,,,,,
"26",,,"Scutellaria parvula",,,,,,,,
"27",,,"Solidago rigida",,,,,,,,
"28",,,"Sorghastrum nutans*",,,,,,,,
"29",,,"Symphyotrichum ericoides*",,,,,,,,
"30",,,"Tragia betonicifolia",,,,,,,,
"31",,,"Tridens flavus*",,,,,,,,
"32",,,"Viola nephrophylla*",,,,,,,,
"33",,,,,,,,,,,
"34",,,,,,,,,,,
"35",,,,,,,,,,,
"36",,,,,,,,,,,
"37",,,,,,,,,,,
"38",,,,,,,,,,,
"39",,,,,,,,,,,
"40",,,,,,,,,,,
"41",,,,,,,,,,,
"42",,,,,,,,,,,
"43",,,,,,,,,,,
"44",,,,,,,,,,,
"45",,,,,,,,,,,
"46",,,,,,,,,,,
"47",,,,,,,,,,,
"48",,,,,,,,,,,
"49",,,,,,,,,,,
"50",,,,,,,,,,,
"51",,,,,,,,,,,
"52",,,,,,,,,,,
"53",,,,,,,,,,,
"54",,,,,,,,,,,
"55",,,,,,,,,,,
"56",,,,,,,,,,,
"57",,,,,,,,,,,
"58",,,,,,,,,,,
"59",,,,,,,,,,,
"60",,,,,,,,,,,
"61",,,,,,,,,,,
"62",,,,,,,,,,,
"63",,,,,,,,,,,
"64",,,,,,,,,,,
"65",,,,,,,,,,,
"66",,,,,,,,,,,
"67",,,,,,,,,,,
"68",,,,,,,,,,,
"69",,,,,,,,,,,
"70",,,,,,,,,,,
"71",,,,,,,,,,,
"72",,,,,,,,,,,
"73",,,,,,,,,,,
"74",,,,,,,,,,,
"75",,,,,,,,,,,
"76",,,,,,,,,,,
"77",,,,,,,,,,,
"78",,,,,,,,,,,
"79",,,,,,,,,,,
"80",,,,,,,,,,,
"81",,,,,,,,,,,
"82",,,,,,,,,,,
"83",,,,,,,,,,,
"84",,,,,,,,,,,
"85",,,,,,,,,,,
"86",,,,,,,,,,,
"87",,,,,,,,,,,
"88",,,,,,,,,,,
"89",,,,,,,,,,,
"90",,,,,,,,,,,
"91",,,,,,,,,,,
"92",,,,,,,,,,,
"93",,,,,,,,,,,
"94",,,,,,,,,,,
"95",,,,,,,,,,,
"96",,,,,,,,,,,
"97",,,,,,,,,,,
"98",,,,,,,,,,,
"99",,,,,,,,,,,
"100",,,,,,,,,,,
